Date,Metric,Value,Unit,Source_URL
2024-07-01,Monthly Consultations,358000,consultations/month,https://www.prnewswire.com/news-releases/openevidence-the-fastest-growing-application-for-physicians-in-history-announces-210-million-round-at-3-5-billion-valuation-302505806.html
2025-01-01,Monthly Consultations,3000000,consultations/month,https://sacra.com/c/openevidence/
2025-07-01,Monthly Consultations,8500000,consultations/month,https://www.prnewswire.com/news-releases/openevidence-the-fastest-growing-application-for-physicians-in-history-announces-210-million-round-at-3-5-billion-valuation-302505806.html
2025-12-01,Monthly Consultations,18000000,consultations/month,https://sacra.com/c/openevidence/
2026-01-21,Monthly Consultations,20000000,consultations/month,https://sacra.com/c/openevidence/
2026-03-10,Single-Day Record,1000000,consultations/day,https://www.prnewswire.com/news-releases/openevidence-launches-coding-intelligence-to-help-physicians-capture-every-dollar-theyve-earned-302726278.html
2026-04-01,Monthly Consultations,27000000,consultations/month,https://sacra.com/c/openevidence/
2024-07-01,Registered Physicians,358000,physicians,https://www.prnewswire.com/news-releases/openevidence-the-fastest-growing-application-for-physicians-in-history-announces-210-million-round-at-3-5-billion-valuation-302505806.html
2025-07-01,Registered Physicians,430000,physicians,https://www.prnewswire.com/news-releases/openevidence-the-fastest-growing-application-for-physicians-in-history-announces-210-million-round-at-3-5-billion-valuation-302505806.html
2025-12-01,Registered Physicians,760000,physicians,https://en.wikipedia.org/wiki/OpenEvidence
2026-01-21,Registered Physicians,760000,physicians,https://sacra.com/c/openevidence/
2024-12-01,Annualized Revenue,7900000,USD,https://sacra.com/c/openevidence/
2025-06-01,Annualized Revenue,50000000,USD,https://sacra.com/c/openevidence/
2025-11-01,Annualized Revenue,150000000,USD,https://sacra.com/c/openevidence/
2025-02-19,Valuation,1000000000,USD,https://www.cnbc.com/2025/02/19/ai-startup-openevidence-secures-sequoia-funding-1-billion-valuation.html
2025-07-15,Valuation,3500000000,USD,https://www.prnewswire.com/news-releases/openevidence-the-fastest-growing-application-for-physicians-in-history-announces-210-million-round-at-3-5-billion-valuation-302505806.html
2025-10-20,Valuation,6000000000,USD,https://www.forbes.com/sites/amyfeldman/2025/10/20/openevidences-daniel-nadler-13-billion-richer-in-just-three-months-after-the-ai-startup-hits-6-billion-valuation/
2026-01-21,Valuation,12000000000,USD,https://sacra.com/c/openevidence/
2025-07-01,Total Funding,285000000,USD,https://sacra.com/c/openevidence/
2025-10-20,Total Funding,485000000,USD,https://sacra.com/c/openevidence/
2026-01-21,Total Funding,700000000,USD,https://sacra.com/c/openevidence/
2026-06-12,Benchmark,89.6,MedQA accuracy percent,Nature Medicine study,Nature Medicine
2026-06-12,Benchmark,3.24,Real Clinical Queries mean score,Nature Medicine study,Nature Medicine
2026-06-12,Benchmark,52,Low-scoring responses flagged,Nature Medicine study error taxonomy,Nature Medicine
2026-01-21,Annualized Revenue,100000000,USD,https://www.cnbc.com/2026/01/21/openevidence-chatgpt-for-doctors-doubles-valuation-to-12-billion.html
2026-05-13,Registered Physicians,650000,physicians,https://www.nbcnews.com
2026-05-13,Monthly Consultations,27000000,consultations/month,https://www.nbcnews.com
2026-06-23,Registered Physicians,860000,physicians,https://www.openevidence.com
2026-06-25,Verified U.S. Clinicians,860000,physicians,https://www.openevidence.com
2026-06-23,Physicians with EchoNext access,500000,physicians,https://www.businesswire.com/news/home/20260623150207/en/Pathway-Labs-Announces-Worlds-First-FDA-Clearance-for-Multicondition-AI-in-Cardiology-and-Partnership-with-OpenEvidence
2026-05-21,Clinicians with Voice Mode access,860000,clinicians,https://www.openevidence.com
2026-05-21,Total AI-powered clinical consultations,200000000,cumulative consultations,https://www.openevidence.com
2026-05-21,Monthly Consultations,20000000,consultations/month,https://sacra.com/c/openevidence/
2026-05-21,Registered Clinicians,860000,clinicians,https://www.pymnts.com/healthcare/2026/openevidence-brings-hands-free-medical-ai-to-860000-clinicians/
2026-05-21,Annualized Revenue,150000000,USD,https://sacra.com/c/openevidence/
2026-05-21,Gross Margin,90,percent,https://sacra.com/c/openevidence/
2026-07-13,Health System Deployments,4,health systems,https://www.healthcareitnews.com/news/mount-sinai-integrate-openevidence-ai-enterprise-wide
