Date,Partner_Name,Partner_Type,Description,Source_URL
2023-06-01,Mayo Clinic,Accelerator,Participated in Mayo Clinic health-technology accelerator program,https://en.wikipedia.org/wiki/OpenEvidence
2025-02-19,NEJM,Content/Journal,Multi-year content agreement with NEJM Group. All published content and multimedia from 1990 forward from NEJM NEJM Evidence NEJM AI NEJM Catalyst and NEJM Journal Watch.,https://www.prnewswire.com/news-releases/openevidence-achieves-1-billion-valuation-in-sequoia-led-round-and-announces-content-partnership-with-the-new-england-journal-of-medicine-302380960.html
2025-06-05,JAMA Network,Content/Journal,Multi-year content agreement with JAMA Network. Covers JAMA JAMA Network Open and 11 specialty journals.,https://www.prnewswire.com/news-releases/openevidence-and-the-jama-network-sign-strategic-content-agreement-302473690.html
2025-11-05,NCCN,Content/Society,Licensing agreement to make NCCN Clinical Practice Guidelines in Oncology and JNCCN content accessible through OpenEvidence.,https://ascopost.com/news/november-2025/nccn-guidelines-to-be-integrated-into-openevidence-medical-ai-platform/
2025-12-11,ACEP,Content/Society,American College of Emergency Physicians partnership announced.,https://www.openevidence.com/announcements/acep
2026-03-03,Wiley,Content/Publisher,Wiley and OpenEvidence partner to deliver trusted research to physicians at point of care. Includes Cochrane content.,https://www.openevidence.com/announcements/wiley-and-openevidence-partner-to-deliver-trusted-research-to-physicians-at-the-point-of-care
2026-03-03,Cochrane,Content/Research,Cochrane Systematic Reviews content included as part of Wiley partnership.,https://www.openevidence.com/announcements/wiley-and-openevidence-partner-to-deliver-trusted-research-to-physicians-at-the-point-of-care
2026-03-12,NORD,Content/Society,Partnership to expand access to trusted expert-reviewed rare disease information for clinicians patients and families worldwide.,https://www.openevidence.com/announcements/national-organization-for-rare-disorders-and-openevidence-partner-to-bring-ai-powered-rare-disease-resources-to-clinicians-and-patients-worldwide
2026-03-16,AAO-HNS,Content/Society,First-of-its-kind partnership to keep clinical practice guidelines aligned with latest evidence.,https://www.openevidence.com/announcements/openevidence-and-aao-hnsf-pioneer-a-new-model-for-updating-clinical-practice-guidelines
2026-04-16,Wiley Neurology Expansion,Content/Publisher,Clinical findings from journals of four leading neurological societies added as part of Wiley partnership.,https://www.openevidence.com/announcements/openevidence-expands-neurology-coverage-with-four-neurological-societies-now-participating-in-the-wiley-openevidence-agreement
2026-04-27,NCCN Treatment Algorithms,Content/Society,NCCN Guidelines Treatment Algorithms integrated into OpenEvidence platform at point of care.,https://www.openevidence.com/announcements/openevidence-collaborates-with-nccn-to-integrate-canonical-oncology-treatment-algorithms-at-the-point-of-care
2026-05-04,ACOG,Content/Society,Strategic collaboration to expand access to ACOG evidence-based clinical guidance for ob-gyn care and womens health.,https://www.openevidence.com/announcements/openevidence-and-acog-announce-strategic-collaboration-to-advance-ob-gyn-health-care
