Company,Founded,HQ,Type,Focus,Key_Product,Launch_Date,Revenue,Valuation,Physicians,Health_Systems,Funding_Total,Key_Investors,Comparison_to_OpenEvidence,Source_URL
OpenEvidence,2022,Miami FL,Private,Medical AI search & clinical decision support,OpenEvidence Platform,2022-01-01,$150M annualized (Nov 2025),$12B (Jan 2026),760K+ (80%+ US doctors),3 (Sutter Mount Sinai Cedars-Sinai),$700M+,Sequoia GV Kleiner Perkins Thrive DST Blackstone Nvidia Mayo Clinic,Baseline - the company this dashboard tracks,https://sacra.com/c/openevidence/
ChatGPT for Clinicians (OpenAI),2015,San Francisco CA,Private,Clinical AI assistant,ChatGPT for Clinicians,2026-04-22,N/A,N/A,N/A,N/A,N/A,Microsoft Khosla Ventures,Direct competitor. Free for verified US physicians NPs PAs and pharmacists. Uses GPT-5.4. Has CME credits. 40M daily health queries on ChatGPT. OpenEvidence has licensed medical content advantage.,https://www.pymnts.com/artificial-intelligence-2/2026/openai-treats-healthcare-with-new-chatgpt-for-clinicians/
Doximity (NYSE: DOCS),2010,San Francisco CA,Public,Physician network + AI tools,Doximity Ask (formerly Doximity GPT),2024-01-01,$620M TTM,$8.75B market cap,85%+ US doctors (2M members),100+,,$81M pre-IPO + $606M IPO,Emergence Capital T. Rowe Price,Biggest direct threat. Larger physician network. 2026 State of AI Report (Mar 2026): 94% physicians using/interested in AI. 100+ health systems with enterprise AI access (DoxGPT Scribe). 720000 unique clinicians using clinical workflow tools. Acquired Pathway Medical. Sued by OpenEvidence for trade secret theft. Diversified revenue (ads recruiting telehealth).,https://en.wikipedia.org/wiki/Doximity
Google MedGemma,1998,Mountain View CA,Public,Open medical AI foundation models,MedGemma 4B & 27B,2025-07-09,N/A,$2T Alphabet,N/A,N/A,N/A,N/A,Developer-focused open models. Not a finished clinical product. Enables competitors to build cheaply. MedGemma 1.5 released ~Apr 2026.,https://huggingface.co/google/medgemma-4b-it
Pathway Medical,2023,Canada,Private (Acquired),AI clinical reference tool,Pathway AI,2023-01-01,N/A,$63M acquisition,N/A,N/A,N/A,N/A,Acquired by Doximity Jul 29 2025 for $63M. Sued by OpenEvidence Feb 2025 for prompt injection. Now part of Doximity Clinical AI Suite.,https://news.bloomberglaw.com/ip-law/medical-ai-firm-suit-says-prompt-stealing-hacks-stole-secrets
Abridge,2018,San Francisco CA,Private,AI clinical documentation (scribe),Abridge AI Scribe,2018-01-01,N/A,$5.3B,N/A,300+ health systems,N/A,Best in KLAS 2025 & 2026 (#1). Patient-Centered Clinician Intelligence Platform launched Jun 11 2026. Nvidia foundation model partnership. Eli Lilly investment. $5.3B valuation with $300M raise. Availity collaboration for prior auth. 200+ health systems. 80M projected conversations in 2026. Expanding beyond scribe into evidence payer and pharma connectivity.,Best in KLAS 2025 & 2026. Expanding into clinical evidence search with NEJM/JAMA partnerships (Apr 15 2026). Kaiser Permanente Johns Hopkins Mayo Clinic. Direct convergence with OpenEvidence.,https://www.abridge.com
Ambience Healthcare,2020,San Francisco CA,Private,AI documentation + coding,Ambience AI Platform,2020-01-01,N/A,N/A,N/A,200+ specialties,N/A,N/A,AI scribe + coding platform. 80% utilization. $13K revenue/clinician/year. Deep Epic integration. Different category but competes for clinician attention.,https://www.ambiencehealthcare.com
UpToDate / Wolters Kluwer,1992,Alphen aan den Rijn Netherlands,Public,Clinical decision support (incumbent),UpToDate,1992-01-01,$595M (UpToDate segment),€6.1B (WKL total),2M global clinicians,N/A,N/A,N/A,Incumbent being disrupted. 30+ year brand. $579/year subscription. 7600+ expert authors. Retrofitting AI but slower than AI-native competitors. 180 countries.,https://en.wikipedia.org/wiki/UpToDate
Microsoft Dragon Copilot,2022 (Microsoft acquisition),Redmond WA,Public,Ambient documentation + speech recognition,Dragon Copilot (formerly DAX),2022-03-04,N/A,N/A,N/A,N/A,$19.7B (Nuance acquisition),Microsoft,Different category (documentation + speech). Former Nuance DAX. Deep EHR integration. Massive enterprise footprint. Limited direct competition.,https://www.microsoft.com/en-us/health-solutions
Vera Health,2024,Unknown,Private,Clinical AI,Unknown,2024-01-01,N/A,N/A,N/A,N/A,N/A,N/A,Sued by OpenEvidence Jun 2025 for prompt injection. Limited public information available.,https://news.bloomberglaw.com/ip-law/medical-ai-firm-says-competitor-hacked-prompts-to-steal-secrets
Glass Health,2021,San Francisco CA,Private (Pivoted),Clinical AI documentation,Glass AI,2021-01-01,N/A,N/A,N/A,N/A,N/A,N/A,Domain now redirects to Glass Medical AI (Amsterdam oncology spin-out). Original clinical AI appears pivoted/acquired. Limited current info.,https://www.glassmedical.ai
